place_id,historical_name,county_id,modern_place,modern_uncertain
131,Bednye seu Bwkowcz,1,,1
132,Bedowcz,1,,
133,Bedowhcz,1,,
134,Bedwdnycze,4,,
135,Bekethincz,1,BEKETINEC,
136,Bekethincz ad Belam,1,BEKETINEC,1
137,Bekethyncz,1,BEKETINEC,
138,Bekethyncz ad Kustherocz,1,BEKETINEC,
139,Bela,1,BELA,
140,Bela,2,BELA,
141,Bela cum pertinentiis,2,BELA,
142,"Bela cum pertinentiis, liberis et predialibus",1,BELA,
143,"Bela, Iwancz, Stasnowcz",2,"BELA, IVANEC,",1
144,"Bela, Iwancza, Ztasnoucz",2,LEPOGLAVA,
145,"Bela, Threm",2,"BELA,",1
146,Bela-castrum cum pertinentiis,2,BELA,
147,"Bela-castrum, Iwancz, Stasnoucz",2,"BELA, IVANEC,",1
148,"Bela-castrum, Iwancz, Zthasnowcz",2,"BELA, IVANEC,",1
149,Bela-castrum-cum pertinentiis,2,BELA,
150,Belawarcz,1,,
151,Belcheucz,1,,
152,Belchewcz,1,,
153,Belchowcz,1,,
154,Belcz,1,BELEC,
155,Belcz,2,BELEC,
156,Belcz cum pertinentiis,2,BELEC,
157,Belecz,2,BELEC,
158,Belecz-castrum cum pertinentiis,2,BELEC,
159,Belesowcz,1,,
160,Belethyncz,2,BELETINEC,
161,Belethyncz ad Gereben,2,BELETINEC,
162,Beletyncz,2,BELETINEC,
163,Belezlowcz,4,,
164,Belkolcz,2,,
165,Belkowcz,1,,
166,Bellessowcz,1,,
167,Bellyanowcz,1,,
168,Belosowcz,1,,
169,Belowarch,1,,1
170,Belowarcz,1,,1
171,Belowarcz*,1,,1
172,Belozlavcz,4,BELOSLAVEC,
173,Belozlawcz,4,BELOSLAVEC,
174,Belozlowcz,4,BELOSLAVEC,
175,Beludowyna,1,,
176,Belwdoch-villicatus ad Zenth Georghwara,1,,
177,Belwdowcz ad Zenth Gergwara,1,,
178,Belwdowyna,1,,
179,Belwsowcz,1,,
180,Belyancz,1,,
181,Belyowcz,1,,
182,Belywdowcz,1,,
183,Benchethyncz,1,,
184,Benedicoucz,1,,
185,Benedicowcz,1,,
186,Benedikowcz,1,,
187,Benedykow,1,,
188,Benedykowcz,1,,
189,Benkoucz,2,", LADISLAVEC",1
190,Benkowcz,2,BENKOVEC,
191,Berdekowcz ad Belam,1,,
192,Berdonocz,4,BRDOVEC,
193,Berdonocz-ad Zomzewdar pertinentiis,4,BRDOVEC,
194,Beregi,1,,
195,Berethyncz,2,BERETINEC,
196,Berizlawcz,4,BERISLAVEC,1
197,Berizlowcz,4,BERISLAVEC,1
198,Berkesewine,4,BRKAŠEVINA,
199,Berkissewyna,4,BRKAŠEVINA,
200,Berkwsewyna,4,BRKAŠEVINA,
201,Berkwssewyna,4,BRKAŠEVINA,
202,Berkwssewyna penes Kwppam ad Thopozka abbacie,4,BRKAŠEVINA,
203,"Berkwssewyna, Pokwpya ad Thopozka-cum pertinentiis",4,"BRKAŠEVINA, POKUPJE",
204,Berkysewyna,4,BRKAŠEVINA,
205,Berkyssewyna,4,BRKAŠEVINA,
206,Berkyssewynna,4,BRKAŠEVINA,
207,Bersancz ad Kaproncza,1,,
208,Berschanowcz,1,,
