authority_id,canonical_name,modern_place,county_id,n_variants,n_entries,method,needs_review,lat,lon,hide_from_map
163,Bozyas,Bezje,1,1,4,manual,1,46.0930000,16.9600000,0
164,Bradechyna ad Garych,Gornja Garešnica,1,1,1,manual,1,45.6549744,16.8130529,0
165,Bradna,Bradna,1,1,7,manual,0,46.070511,16.692291,0
166,Bradna inferior,Bradna,1,1,1,manual,1,46.070511,16.692291,0
167,Bragasowcz,,1,2,5,orthographic-exact,0,,,0
168,Brakwnowcz,Brekunjevec,4,1,1,manual,0,45.9180000,16.1650000,0
169,Bregchewcz,Brčevec,1,1,1,manual,0,45.8663641,16.4127097,0
170,Breschyna,Čvrstec,1,1,1,manual,1,46.0044639,16.6638832,0
171,Bresnycze,Breznica,1,2,5,manual,0,45.745073,17.517561,0
172,Bresnycza-ad Achynam,Breznica,1,1,2,manual,1,45.745073,17.517561,0
173,Bresowcz,Breza,1,2,3,manual,0,45.8796142,16.7235635,0
174,Brezowycza,Brezovica,4,5,49,modern,0,45.7277707,15.9100676,0
175,Brestoycha,Kobasičari,1,1,1,manual,0,45.9614269,16.8129844,0
176,Brezewcze cum pertinentiis,Brezovica kod Virovitice,1,1,1,manual,1,45.8632231,17.5584815,0
177,Brezowcz,Brezovec,1,3,12,modern,0,45.9086711,16.2644717,0
178,Brezoycha ad Nagh Kemlek,Brezovica Kalnička,1,1,1,manual,1,46.1420000,16.4560000,0
179,Brezoycza,Brezovica,1,3,11,manual,0,46.0752302,17.0755450,0
180,Brezt,,2,1,2,singleton,0,,,0
181,Brezth,Brest Pokupski,4,1,2,manual,0,45.4532035,16.2560801,0
182,Brezthowcz - Dechyna,Brezovec,1,1,1,manual,1,45.9086711,16.2644717,0
183,Brezthowcz - Dolina,Brezovec,1,1,1,manual,1,45.9086711,16.2644717,0
184,Brezthye,Brest Pokupski,4,1,1,manual,0,45.4532035,16.2560801,0
185,Brezyancz,Ilova kod Grubišnog Polja,3,2,4,manual,1,45.6900000,17.1500000,0
186,Brezyna,Čaklovac,1,1,3,manual,1,45.4530837,17.2847740,0
187,Brezyna - Chakowcz,Čaklovac,1,1,1,manual,1,45.4530837,17.2847740,0
188,Brokwnowcz,Brekunjevec,4,5,9,manual,1,45.9180000,16.1650000,0
189,Brokunoucz - Adamovcz,Brekunjevec,4,1,1,manual,1,45.9180000,16.1650000,0
190,"Brokwnyowcz, Glawnycza","Brokunjovec, Glavnica",4,2,3,modern,0,45.9315133,16.1417444,0
191,Brysnyak,,1,1,1,singleton,0,,,0
192,Bryzthno,Gornja Bistra,4,1,1,singleton,0,45.9198183,15.8986398,0
193,Bwdrowcz,Gudovec,1,4,9,manual,0,45.881140,16.784635,0
194,"Budyndol, Pomperoucz, Hansevcz","Budinščina, Pomnerovac",2,1,2,singleton,0,46.1269062,16.2037628,0
195,Bukovcz,Zvonik,1,1,2,manual,0,45.8983710,16.6365112,0
196,Bwschyncz,Buščinec,1,2,7,manual,0,45.882398,16.672339,0
197,Bwdyslwcz,,2,2,2,orthographic-fuzzy,1,,,0
198,Bwdnak,Sesvete,1,1,1,manual,0,45.6960000,17.0300000,0
199,Bwdrowcz,Budrovac,3,2,4,manual,0,45.9846315,17.0567113,0
200,Bwdyndoll,Budinščina - Pomnerovac,2,1,1,manual,1,46.1269062,16.2037628,0
201,Bwdyndol - Hansewcz,Budinščina - Pomnerovac,2,1,11,manual,1,46.1269062,16.2037628,0
202,Bwdyndol - Hansewcz - Pomperowcz,Budinščina - Pomnerovac,2,1,1,manual,1,46.1269062,16.2037628,0
203,Bwdyndoll,Budinščina - Pomnerovac,2,1,4,manual,1,46.1269062,16.2037628,0
204,Bwdyzlawcz,,2,1,4,singleton,0,,,0
205,"Bwdyzlawcz, Dymytrowcz",,2,1,1,singleton,0,,,0
206,"Bwkowcz, Zelyna","Bukovec, Zelina",4,1,1,singleton,0,45.7104144,15.8202926,0
207,Bwkowschak,Bukovšćak,4,4,9,modern,0,45.9055538,15.8017033,0
208,Bwsowcz,Virovitica,3,1,2,manual,1,45.8331404,17.3853376,0
209,Bwssocz,Virovitica,3,1,4,manual,1,45.8331404,17.3853376,0
210,Bwssowcz,Virovitica,3,1,3,manual,1,45.8331404,17.3853376,0
211,Bwsthincz,Bušić,1,2,2,manual,0,45.8137034,16.0237909,0
212,"Bwzyn, Odra","Buzin, Odra",4,2,4,modern,0,45.7498707,15.9953199,0
213,Bwyancz,Paruževac,1,1,4,manual,1,45.8350330,16.4979893,0
214,Bwyowcz,Bujovac,1,1,5,manual,1,45.5928272,17.2237617,0
215,Byenyk,Pobjenik,1,2,10,manual,0,45.7048930,16.6131474,0
216,Byenyk ad Topozka (predium),Topusko,4,1,1,manual,1,45.2931510,15.9789277,0
217,Bygzaad,Bisag,4,1,2,manual,0,46.0333333,16.2833333,0
218,Bykzad,Bisag,1,5,29,modern,0,46.0333333,16.2833333,0
219,Bygzad,Bisag,4,1,5,manual,0,46.0333333,16.2833333,0
220,Bygzad-citra Lonyam,,4,1,1,singleton,0,,,0
221,Bykalla,Korenovo,1,2,2,manual,0,45.8585850,16.8114639,0
222,Bykchelethincz,Hampovica,1,2,2,manual,0,46.0156843,16.9540763,0
223,Bykszad,Bisag,4,1,4,manual,0,46.0333333,16.2833333,0
224,Bykzad,Bisag,4,1,18,manual,0,46.0333333,16.2833333,0
225,"Bykzad, Wyhel","Bisag, Novo Mjesto",1,2,5,modern,0,46.0333333,16.2833333,0
226,Bynowcz,Čepelovac,1,1,3,manual,0,45.9949728,17.0425162,0
227,Byskwpcz,Biskupec,2,1,6,singleton,0,46.2856962,16.3354777,0
228,Byskwpecz,Biškupec,2,1,1,singleton,0,46.2856962,16.3354777,0
229,Byztrycza,Bistrica,4,9,64,modern,0,45.9972059,16.1227427,0
230,Byzkelethycz,,1,1,1,singleton,0,,,0
231,Camarcha,Novigrad Podravski,1,1,1,manual,0,46.0757469,16.9497812,0
232,Camarcha - Thwlowa,Novigrad Podravski,1,1,1,manual,1,46.0757469,16.9497812,0
233,Campus,,1,1,1,singleton,0,,,0
234,Campus,Jakuševec,1,1,1,manual,1,45.7577522,16.0192623,0
235,Capella,Stara Kapela,1,1,6,singleton,0,45.8909545,16.6063210,0
236,"Cappela,Kelyanowcz",,1,1,1,singleton,0,,,0
237,Chapalowcz,Čepelovac,1,3,9,manual,0,45.9949728,17.0425162,0
238,Czargowcz,Poljana,2,1,3,manual,1,46.2700000,16.3180556,0
239,Karlowcz,Karlovec Ludbreški,1,5,19,manual,1,46.2876860,16.6287750,0
240,Czeraberda,,1,3,4,orthographic-fuzzy,1,,,0
241,Cherztwecz,Čvrstec,1,11,25,manual,0,46.0044639,16.6638832,0
242,Chakowcz,Čaklovac,1,1,19,manual,0,45.4530837,17.2847740,0
243,Chakowcz - Brezyna,Čaklovac,1,1,1,manual,1,45.4530837,17.2847740,0
244,Chaktornya,Čaklovac,1,1,2,manual,0,45.4530837,17.2847740,0
245,Chalyncz,Čalinec,2,4,13,modern,0,46.2890601,16.1806256,0
246,Chyanyo,Čanjevo,1,4,26,modern,0,46.1063890,16.3394440,0
247,"Chanyo, Prezeka, Rauen",Čanjevo,1,1,2,singleton,0,46.1063890,16.3394440,0
248,Czargowcz,Poljana,2,1,3,manual,1,46.2700000,16.3180556,0
249,Charzyncz,,1,1,1,singleton,0,,,0
250,Chazarwara,Cesargrad,2,5,15,modern,0,46.0601275,15.7222748,0
251,Chebenowcz,Cepidlak,1,1,2,manual,0,45.9751022,16.6913869,0
252,Chehowyna ad portionem,,1,1,1,singleton,0,,,0
253,Czekno,Bršljanica,1,2,3,manual,0,45.5827915,16.8519325,0
254,Chelowechky,,2,1,1,singleton,0,,,0
255,Chelycze,Gornji Tkalec,1,3,3,manual,1,45.9705000,16.4497000,0
256,Chemernicha,Čemernica Lonjska,1,3,6,manual,0,45.7658591,16.4168812,0
257,Cheperlyncz,,2,1,12,singleton,0,,,0
258,"Cheperlyncz, Stefancz","Štefanec, Otok",2,2,3,modern,0,46.3031360,16.4579003,0
259,Zenth Berthalam,Bartolovec,2,9,12,modern,0,46.2970896,16.4351454,0
260,Cherbenye - Lwkawecz,Lukavec,1,1,1,manual,1,46.2429235,16.2152939,0
261,Cherbyncz,,2,1,2,singleton,0,,,0
262,Cherchan ad Gemlech,Graberje Ivaničko,1,1,1,manual,1,45.7101594,16.4712034,0
263,Chereborda,,1,2,4,orthographic-exact,0,,,0
264,Cheresnye,Vidovec,2,1,2,manual,1,46.2863481,16.2504203,0
265,Cheresnye,Vidovec,2,1,1,manual,1,46.2863481,16.2504203,0
266,Cheresnyo - Wydowcz,Vidovec,2,1,1,manual,1,46.2863481,16.2504203,0
267,Chernkowcz,Črnkovec,4,4,48,modern,0,45.7506386,16.1197623,0
268,Chernacz,,3,1,1,singleton,0,,,0
269,Chernareca,Hercegovac,1,1,1,manual,1,45.6553617,17.0090772,0
270,Chernareka,Hercegovac,1,1,4,manual,0,45.6553617,17.0090772,0
271,Chernchan ad Gemlecz,Graberje Ivaničko,1,1,1,manual,1,45.7101594,16.4712034,0
272,Chernecz,Crnac,3,2,5,manual,0,45.6927000,17.9383000,0
273,Cherneleucz - Toplychycza,Toplica,4,1,1,manual,1,45.2943011,15.9707037,0
274,Chernesoucz,Črnčevec,1,1,3,manual,1,46.0880181,16.4664682,0
275,"Chernkowcz, Schytaryo","Črnkovec, Ščitarjevo",4,1,1,singleton,0,45.7506386,16.1197623,0
