county,authority_id,canonical_name,place_ids,raw_spellings,years,n_entries
Križevačka županija,1576,Wogrynocz,3275 3278 3279,Wogrinowcz | Wogrynocz | Wogrynowcz,"1507, 1520",3
Križevačka županija,1593,Wratisincz,3337 3338 3339,Wrathysincz | Wrathyssyncz | Wratisincz,"1495, 1507, 1517",3
Križevačka županija,1595,Wzmowcz,3352 3391,Wuzmoucz | Wzmowcz,"1507, 1512, 1513",3
Križevačka županija,1598,Wyfalu ad Gemnecz,3362 3363 3364,Wyfalu ad Gemnecz | Wyfalw ad Gemlecz | Wyfalw- ad Gemlecz,"1512, 1513, 1520",3
Križevačka županija,1617,Zagorya,3413,Zagorya,"1507, 1517",3
Križevačka županija,1628,Zavamelleky,3445 3447 3449,Zavamelleky | Zawamelleke | Zawamelleky,"1507, 1512, 1520",3
Križevačka županija,1657,Zemche,3505,Zemche,"1495, 1507",3
Križevačka županija,1659,Zempche,3507 3508,Zempche | Zempcze,1517,3
Križevačka županija,1708,Zenthlazlo,3619,Zenthlazlo,1520,3
Križevačka županija,1785,Zuha Mlacha,3820 3822,Zuha Mlacha | Zuhamlacha,1507,3
Križevačka županija,1801,Zylagh Zenthgyergh,3847 3850,Zylag Zenth Gergh | Zylagh Zenthgyergh,"1507, 1513",3
Križevačka županija,1807,Zystan,3857 3858 3866,Zystan | Zysthyan | Zyzsthan,"1507, 1512, 1513",3
Varaždinska županija,60,Batyna,117 118,Bathyna | Batyna,"1513, 1596",3
Varaždinska županija,253,Cheresnye,518 519,Cheresnye | Cheresnyo,"1513, 1543",3
Varaždinska županija,328,Crysancz,640,Crysancz,"1507, 1513",3
Varaždinska županija,1039,Naseuyna,2165,Naseuyna,"1543, 1554",3
Varaždinska županija,1338,Rowno,2806,Rowno,1596,3
Virovitička županija,347,Decze,684,Decze,"1507, 1513",3
Virovitička županija,847,Kyralowcz-cum pertinentiis,1701 1702,Kyralowcz-cum pertinentiis | Kyralyowcz cum pertinientiis,"1513, 1517",3
Virovitička županija,956,Martinowcz,1955 1964,Martinowcz | Martynoucz,"1507, 1513, 1517",3
Virovitička županija,975,Mendzent,2016 2018 2120,Mendzent | Mendzenth | Myndzenth,"1507, 1520",3
Virovitička županija,1026,Myndczenth,2115,Myndczenth,"1513, 1517, 1520",3
Virovitička županija,1556,Wereucze-oppidi,3223 3226,Wereucze-oppidi | Werewcze-oppidum,"1513, 1517",3
Virovitička županija,1574,"Wlachyn, utraque Rawennyk",3272 3273,"Wlachyn, utraque Rawennyk | Wlachyn, utraque Rawenyk","1507, 1513, 1517",3
Virovitička županija,1645,Zehanowcz,3475,Zehanowcz,"1513, 1517, 1520",3
Virovitička županija,1722,Zkakala,3676,Zkakala,"1507, 1520",3
Zagrebačka županija,495,Glaunycza Sanctae Trinitatis,961,Glaunycza Sanctae Trinitatis,1596,3
Zagrebačka županija,604,Hrastovica cum pertinentiis,1177 1178 1188,Hrastovica cum pertinentiis | Hrastowicza cum pertinentiis | Hraztoyczam cum pertinentiis,"1543, 1553, 1574",3
Zagrebačka županija,1197,Pokwpzkywerh,2526 2539,Pokopzky Verh | Pokwpzkywerh,"1573, 1574, 1579",3
Zagrebačka županija,1217,Pozawye,2568 2570,Pozavye | Pozawye,"1579, 1582, 1596",3
Križevačka županija,14,Also Gerzencze,19 27,Allso Gerzencze | Also Gerzencze,"1507, 1517",2
Križevačka županija,22,Also Totusewyna,36 37,Also Thothwssewyna | Also Totusewyna,"1507, 1517",2
Križevačka županija,29,Apathowcz,69,Apathowcz,1520,2
Križevačka županija,39,Babynschyna,88 263,Babynschyna | Bobinschyna,"1495, 1507",2
Križevačka županija,40,"Babynschyna, Koren",89 90,"Babynschyna, Koren | Babynsthyna, Koren","1513, 1520",2
Križevačka županija,42,Baganoz,92,Baganoz,1507,2
Križevačka županija,43,Bagenowcz,93,Bagenowcz,1517,2
Križevačka županija,46,Bakolcza,97,Bakolcza,1495,2
Križevačka županija,51,Banowch,104 105,Banowch | Banowcz,"1513, 1520",2
Križevačka županija,53,Banthusovcz,107 108,Banthusovcz | Banthwsoucz,"1507, 1512",2
Križevačka županija,56,Baranowcz,113,Baranowcz,1517,2
Križevačka županija,76,Belcheucz,151 152,Belcheucz | Belchewcz,"1507, 1520",2
Križevačka županija,101,Bersancz ad Kaproncza,207 343,Bersancz ad Kaproncza | Bresancz ad Kaproncza,"1513, 1520",2
Križevačka županija,104,Bersthianoucz,210,Bersthianoucz,1507,2
Križevačka županija,107,Berywoy-provincia (Zenth Iwan?),213,Berywoy-provincia (Zenth Iwan?),1495,2
Križevačka županija,109,Berzewcz-provincia inferior,218 220,Berzewcz-provincia inferior | Berzewcze-provincia inferior,"1513, 1517",2
Križevačka županija,110,Berzewcze,219,Berzewcze,"1513, 1517",2
Križevačka županija,111,Berzyncz,221,Berzyncz,"1513, 1520",2
Križevačka županija,112,Besenowcz,222,Besenowcz,"1507, 1513",2
Križevačka županija,121,Blagay,232,Blagay,1495,2
Križevačka županija,126,Blasewerh-ad Achyna,242 243,Blasewerh-ad Achyna | Blasewwerh-ad Achynam,"1513, 1517",2
Križevačka županija,139,Bolethyna,283 284,Bolethyna | Bolethyno,1507,2
Križevačka županija,153,Bothcafeld,324,Bothcafeld,1507,2
Križevačka županija,168,Bresnycza-ad Achynam,346,Bresnycza-ad Achynam,1517,2
Križevačka županija,178,"Brezthowcz, Dolina",364 365,"Brezthowcz, Dechyna | Brezthowcz, Dolina","1513, 1520",2
Križevačka županija,190,Bukovcz,385,Bukovcz,1512,2
Križevačka županija,203,Bwsthincz,411 412,Bwsthincz | Bwsthyncz,"1507, 1512",2
Križevačka županija,212,Bykalla,432 433,Bykalla | Bykalya,"1513, 1520",2
Križevačka županija,213,Bykchelethincz,434 435,Bykchelethincz | Bykczelethyncz,"1507, 1512",2
Križevačka županija,234,Chaktornya,483,Chaktornya,1507,2
Križevačka županija,240,Chebenowcz,500,Chebenowcz,1495,2
Križevačka županija,273,Cheztylowcz,555 556,Chezthylowcz | Cheztylowcz,"1495, 1513",2
Križevačka županija,290,Cyglena,586 646,Chyglena | Cyglena,"1507, 1512",2
Križevačka županija,305,"Coren, Zdela",605,"Coren, Zdela",1520,2
Križevačka županija,333,Czerowycza Zentiwan,657 659,Czerowycza Zenth Iwan | Czerowycza Zentiwan,"1573, 1576",2
Križevačka županija,350,Derkowcz,689,Derkowcz,"1513, 1520",2
Križevačka županija,385,Dragalen,745,Dragalen,1495,2
Križevačka županija,387,Dragalyna,747,Dragalyna,1517,2
Križevačka županija,411,Dwgy Werh,791,Dwgy Werh,1495,2
Križevačka županija,421,Dyakowch,820 821,Dyakowch | Dyakowcz,"1517, 1520",2
Križevačka županija,424,Dymychffeld,827,Dymychffeld,1517,2
Križevačka županija,449,Felsew Gerzencze,871,Felsew Gerzencze,"1507, 1517",2
Križevačka županija,452,Felsew Totusewyna,879 880,Felsew Thothwssewyna | Felsew Totusewyna,"1507, 1517",2
Križevačka županija,474,Galowcz,936,Galowcz,"1512, 1520",2
Križevačka županija,484,Gedrocz,949 950,Gedrocz | Gedrowcz,"1513, 1520",2
Križevačka županija,485,Gemelgfelde,951,Gemelgfelde,1495,2
Križevačka županija,505,"Gorbonok, Drawamelleke",982 983,"Gorbonok, Drawamelleke | Gorbonok, Drawamelleky","1513, 1517",2
Križevačka županija,508,Gorbowa,992,Gorbowa,1517,2
Križevačka županija,552,Grymoucz,1087 1088,Grymoucz | Grymowcz,1507,2
Križevačka županija,562,Gymelchfeld,1110,Gymelchfeld,1507,2
Križevačka županija,564,Gywrethyncz,1114,Gywrethyncz,1517,2
Križevačka županija,571,Hathkozenth Mihal,1126 1159,Hathkozenth Mihal | Hothko Zenth Myhal,1507,2
Križevačka županija,574,Hedrihowcz,1130 1131,Hedrihowcz | Hedryhowcz,"1513, 1520",2
Križevačka županija,593,Hothowa,1161,Hothowa,"1513, 1520",2
Križevačka županija,596,Hozywfalw,1164 1220,Hozywfalw | Hwzywfalu,"1507, 1517",2
Križevačka županija,612,Hromchovcz,1193 1194,Hromchovcz | Hromchowcz,"1512, 1513",2
Križevačka županija,631,Inferior Vaska,1230 1231,Inferior Vaska | Inferior Waska,1507,2
Križevačka županija,640,Izdencz,1258,Izdencz,"1495, 1533",2
Križevačka županija,642,Jacupelcz,1260,Jacupelcz,"1507, 1512",2
Križevačka županija,646,Jakopowcz,1270 1281,Jakopowcz | Jakwpowcz,"1513, 1517",2
Križevačka županija,651,Jakwpelcz,1280,Jakwpelcz,"1513, 1520",2
Križevačka županija,684,Jelye,1374 1376,Jellye | Jelye,"1507, 1517",2
Križevačka županija,686,Jenderkowcz ad Garigh,1380 1382,Jenderkowcz ad Garigh | Jenderkowcz-ad Garych,"1512, 1520",2
Križevačka županija,688,Jerosyn,1384,Jerosyn,1520,2
Križevačka županija,718,Kerhnyewyna,1448,Kerhnyewyna,1507,2
Križevačka županija,735,Knesech,1477 1478,Knesech | Knesecz,"1512, 1520",2
Križevačka županija,739,Kobyle,1484 1488,Kobyle | Kobylye,"1513, 1520",2
Križevačka županija,749,Kolaryewcz,1497 1498,Kolaryewcz | Kolaryewecz,"1513, 1520",2
Križevačka županija,753,Komarcha,1503 1504,Komarcha | Komarcza,1507,2
Križevačka županija,772,Kophachowcz,1532,Kophachowcz,1517,2
Križevačka županija,773,"Kopino, Sabnicha",1533 1534,"Kopino, Sabnicha | Kopino, Sabpnicha","1512, 1513",2
Križevačka županija,780,"Koren, Zdelya",1544,"Koren, Zdelya",1513,2
Križevačka županija,783,Koroska,1549,Koroska,"1513, 1520",2
Križevačka županija,814,Krachowcz,1619 1633,Krachowcz | Krayachowcz,"1513, 1520",2
Križevačka županija,821,Krenyn,1635,Krenyn,1513,2
Križevačka županija,827,Krysnychicha ad Galgwncza,1642 1643,Krysnychicha ad Galgwncza | Krysnychycza-ad Galgoncza,"1507, 1513",2
Križevačka županija,836,Kwkchowcz,1662,Kwkchowcz,1495,2
Križevačka županija,856,Labasowcz,1717 1718,Labasowcz | Labassowcz,"1512, 1520",2
Križevačka županija,857,Labazowcz,1719,Labazowcz,1513,2
Križevačka županija,865,Lathcowyna,1734,Lathcowyna,1507,2
Križevačka županija,878,Lepsincz,1765 1766,Lepsincz | Lepsyncz,"1512, 1513",2
Križevačka županija,879,Leschan,1768,Leschan,1507,2
Križevačka županija,880,Lesnekheg,1770,Lesnekheg,1507,2
Križevačka županija,895,Lochan,1799,Lochan,"1513, 1520",2
Križevačka županija,912,Lubewschycza ad Nagkemlek,1823 1892,Lubewschycza ad Nagkemlek | Lywbeschycha-ad Nagh Kemlek,"1512, 1513",2
Križevačka županija,924,Lyppycha,1882 1883,Lyppycha | Lyppycza,"1513, 1520",2
Križevačka županija,939,Manchewcz,1918,Manchewcz,1495,2
Križevačka županija,953,Marthynowcz,1946,Marthynowcz,1495,2
Križevačka županija,957,Maryancz,1970,Maryancz,"1513, 1517",2
Križevačka županija,964,"Mathwsowcz, Marthynowcz",1981,"Mathwsowcz, Marthynowcz",1520,2
Križevačka županija,969,Meglich,2001,Meglich,1507,2
Križevačka županija,1003,Molywa,2057,Molywa,"1513, 1520",2
Križevačka županija,1024,"Mylethynch, Kamarcha",2111 2113,"Mylethynch, Kamarcha | Mylethyncz, Camarcha","1513, 1520",2
Križevačka županija,1044,Nethech,2172 2173,Nethech | Nethecz,"1507, 1513",2
Križevačka županija,1082,"Omnii Sancti (Svi Sveti, Sesvete)",2266,"Omnii Sancti (Svi Sveti, Sesvete)",1512,2
Križevačka županija,1110,Othnya Zenth Pal,2340,Othnya Zenth Pal,"1507, 1520",2
Križevačka županija,1114,Owar ad Caproncza,2350 2351,Owar ad Caproncza | Owar ad Koproncza,"1513, 1520",2
Križevačka županija,1121,Palata,2373 2374,Palata | Palatha,"1512, 1513",2
Križevačka županija,1123,Palotha,2376,Palotha,"1507, 1520",2
Križevačka županija,1136,"Pawlochancz, Brezowcz",2400,"Pawlochancz, Brezowcz","1507, 1513",2
Križevačka županija,1142,Pekercz-waywodatus superior,2409 2413,Pekercz-waywodatus superior | Peklencze-waywodatus superior,1495,2
Križevačka županija,1145,Pekrecz,2415,Pekrecz,1507,2
Križevačka županija,1150,Persinowcz,2420 2421,Persinowcz | Persynoucz,"1533, 1543",2
Križevačka županija,1161,Petrowcz,2448,Petrowcz,"1495, 1543",2
Križevačka županija,1184,Podkrayta,2501,Podkrayta,1517,2
Križevačka županija,1213,Pothkraycz,2561,Pothkraycz,1513,2
Križevačka županija,1222,Prasnycza-fortalitium novum,2577,Prasnycza-fortalitium novum,1543,2
Križevačka županija,1225,Prebinowcz,2583,Prebinowcz,1520,2
Križevačka županija,1238,Prykray ad Zenth Gergwara,2611 2629,Prikray ad Zenthgeorghwara | Prykray ad Zenth Gergwara,"1507, 1520",2
Križevačka županija,1272,Radnak,2662,Radnak,1512,2
Križevačka županija,1275,Radozlawcz,2666,Radozlawcz,1495,2
Križevačka županija,1277,Rahocza,2669,Rahocza,1517,2
Križevačka županija,1285,Ramachawelgh,2696 2697,Ramacha Welge | Ramachawelgh,"1507, 1517",2
Križevačka županija,1304,Razossya,2725,Razossya,1495,2
Križevačka županija,1313,Reche-Suppanatus,2741 2809,Reche-Suppanatus | Royche-supanatus,"1513, 1520",2
Križevačka županija,1314,Reche-Vayuodatus,2742 2810,Reche-Vayuodatus | Royche-waywodatus,"1513, 1520",2
Križevačka županija,1319,Reka cum pertinetiis Kys Kemlek,2750 2751,Reka cum pertinentiis Kys Kemlek | Reka cum pertinetiis Kys Kemlek,1570,2
Križevačka županija,1341,Rwchlewcz,2811,Rwchlewcz,1495,2
Križevačka županija,1349,Sabnycza-in Markowcz,2825,Sabnycza-in Markowcz,1520,2
Križevačka županija,1401,Sokowcz,2926,Sokowcz,"1513, 1520",2
Križevačka županija,1436,"Temerye, Czezarowcz",3001,"Temerye, Czezarowcz",1513,2
Križevačka županija,1455,Themeryen,3030,Themeryen,1520,2
Križevačka županija,1457,"Therbenye, Lwkaucz",3032 3033,"Therbenye, Lwkaucz | Therbenye, Lwkawecz","1513, 1517",2
Križevačka županija,1479,Thopolchazenthgergh,3070,Thopolchazenthgergh,1533,2
Križevačka županija,1480,Thopolyancz,3071,Thopolyancz,1517,2
Križevačka županija,1486,Thothwsewyna,3077 3100,Thothwsewyna | Tothwssewyna,"1533, 1543",2
Križevačka županija,1490,Tremysche,3084 3112,Thremyschye | Tremysche,"1507, 1517",2
Križevačka županija,1506,Trombetharyewcz,3113 3114,Trombetharyewcz | Trumbetharyewcz,"1512, 1520",2
Križevačka županija,1562,Werhoucz,3231 3233,Werhoucz | Werhowcz,"1507, 1520",2
Križevačka županija,1564,Wertlyn,3237 3239,Werthlin | Wertlyn,"1507, 1512",2
Križevačka županija,1569,Wezelkowcz,3243 3244,Wezelkowcz | Wezolkowcz,"1513, 1520",2
Križevačka županija,1570,"Wogrynowcz, Markowcz",3258 3280,"Wgrynowcz, E203Markowcz | Wogrynowcz, Markowcz","1513, 1520",2
Križevačka županija,1587,Woznekowcz,3317,Woznekowcz,1513,2
Križevačka županija,1602,Wywaras,3386,Wywaras,"1513, 1517",2
Križevačka županija,1619,Zagyowcza,3418,Zagyowcza,1513,2
Križevačka županija,1637,Zdenchec ad Kaproncza,3465 3473,Zdenchec ad Kaproncza | Zedenchecz ad Kapruncza,"1507, 1513",2
Križevačka županija,1640,Zdencz,3468,Zdencz,1507,2
Križevačka županija,1644,Zedinyncz,3474,Zedinyncz,"1507, 1517",2
Križevačka županija,1655,Zelyancz,3495,Zelyancz,"1579, 1582",2
Križevačka županija,1671,Zenthandras,3524 3595,Zenth Andras | Zenthandras,"1507, 1517",2
Križevačka županija,1678,"Zenth Iwan, Krysnychya",3556,"Zenth Iwan, Krysnychya",1520,2
Križevačka županija,1688,Zenth Lewlek,3571,Zenth Lewlek,1507,2
Križevačka županija,1714,Zerchewcz,3655 3656,Zerchewcz | Zerchewecz,"1513, 1520",2
Križevačka županija,1716,"Zerdahel, Koren",3658,"Zerdahel, Koren","1513, 1520",2
Križevačka županija,1717,"Zerdahel, Meghwreche",3659 3660,"Zerdahel, Meghwreche | Zerdahel, Megywrechye","1513, 1520",2
Križevačka županija,1721,Zeyanohrazthye,3671,Zeyanohrazthye,1495,2
Križevačka županija,1760,Zrednawecz,3767 3768,Zrednawecz | Zrednyawcz,"1512, 1513",2
Križevačka županija,1768,Ztolnykowcz,3782 3807,Zthalnykowcz | Ztolnykowcz,"1513, 1520",2
Križevačka županija,1792,Zwpya,3836,Zwpya,"1507, 1517",2
Križevačka županija,1793,Zwsycha,3837,Zwsycha,1513,2
Križevačka županija,1798,Zwzicha,3844,Zwzicha,1520,2
Križevačka županija,1803,Zylagh-waywodatus inferior ad castrum Valpo,3852 3853,Zylagh-waywodatus inferior ad castrum Valpo | Zylagh-waywodatus superior ad castrum Walpho,1517,2
Varaždinska županija,151,"Borychewcz, Marthyndoll",303,"Borychewcz, Marthyndoll",1596,2
Varaždinska županija,176,Brezt,361,Brezt,1596,2
Varaždinska županija,192,Bwdyslwcz,387 398,Bwdislawcz | Bwdyslwcz,"1543, 1570",2
Varaždinska županija,250,Cherbyncz,515,Cherbyncz,1513,2
Varaždinska županija,583,Herpeny,1147 1148,Herpeny | Herpenye,1507,2
Varaždinska županija,882,Lestakowcz,1773 1778,Lestakowcz | Lesthakowcz,"1582, 1596",2
Varaždinska županija,883,"Lestakowcz, Zwhodoll",1774 1780,"Lestakowcz, Zwhodoll | Lesthakowcz, Zwhodol","1582, 1596",2
Varaždinska županija,1040,Nassenya,2166,Nassenya,1568,2
Varaždinska županija,1195,Poklechan,2523 2524,Poklechan | Poklechancz,"1507, 1513",2
Varaždinska županija,1698,Zenth Nedele,3586 3587,Zenth Nedele | Zenth Nedelew,"1507, 1513",2
Varaždinska županija,1796,Zwthezka,3840,Zwthezka,"1507, 1513",2
Virovitička županija,28,"Antholocz,Ramyncz,Chernecz, Thremecz",68,"Antholocz,Ramyncz,Chernecz, Thremecz",1520,2
Virovitička županija,294,Chyztahrazthya,591 592,Chyzta Hrazthya | Chyztahrazthya,"1507, 1513",2
Virovitička županija,351,Dersze,690,Dersze,1517,2
Virovitička županija,352,Derze,691,Derze,1520,2
Virovitička županija,820,Krayowcz,1634,Krayowcz,1507,2
Virovitička županija,842,Kwthetincz,1689 1690,Kwthetincz | Kwthetyncz,"1513, 1517",2
Virovitička županija,846,Kyralocz,1700,Kyralocz,1520,2
Virovitička županija,1027,Myndczenth cum pertinentiis,2116 2117,Myndczenth cum pertinentiis | Myndczenth-cum pertinentiis,"1513, 1517",2
Virovitička županija,1162,Petrowdolecz,2450,Petrowdolecz,"1513, 1517",2
Virovitička županija,1214,Powsevcz,2563,Powsevcz,1520,2
Virovitička županija,1443,Thalanoucz,3012,Thalanoucz,1507,2
Virovitička županija,1445,"Thallocz, Lyppa, Martinowcz",3014,"Thallocz, Lyppa, Martinowcz",1520,2
Virovitička županija,1446,Thaloucz,3015,Thaloucz,1507,2
Virovitička županija,1558,Werewcze-provincia opidi,3227,Werewcze-provincia opidi,1507,2
Virovitička županija,1575,"Wugrynincz, Wlachyn, uterque Ravenyk",3274 3351,"Wogrinencz, Wlachyn, utraque Rawennyk | Wugrynincz, Wlachyn, uterque Ravenyk","1507, 1517",2
Virovitička županija,1577,"Wogrynecz, Wlachin",3276 3281,"Wogrynecz, Wlachin | Wogrynyncz, Wlachyn","1513, 1517",2
Virovitička županija,1626,Zanowcz,3443 3779,Zanowcz | Ztanowcz,1507,2
Zagrebačka županija,127,"Blaskoucz, Glavnycza",244 245,"Blaskoucz, Glavnycza | Blaskowcz, Glawnycza","1582, 1596",2
Zagrebačka županija,129,"Blathno, Remethinczy, Lwka",247 248,"Blathno, Remethinczy, Lwka | Blathno, Remethinczy, Lwka*",1509,2
Zagrebačka županija,142,Bona-Nicolaus Zrini,287 288,Bona-Nicolaus Zrini | Bona-Nicolaus Zryny,1533,2
Zagrebačka županija,177,Brezth,362,Brezth,"1507, 1517",2
Zagrebačka županija,278,Chrechan,563 564,Chrechan | Chrechancz,"1517, 1533",2
Zagrebačka županija,348,Dedochay sub Pokwpye,685,Dedochay sub Pokwpye,"1553, 1554",2
Zagrebačka županija,370,Dobrawa ad Lythwuanych,712 713,Dobrawa ad Lythwuanych | Dobrawa villa ad Lythwanych,"1517, 1520",2
Zagrebačka županija,409,Dwbowecz,788,Dwbowecz,1509,2
Zagrebačka županija,414,Dworane,801,Dworane,"1574, 1582",2
Zagrebačka županija,494,Glagowo,960,Glagowo,"1573, 1579",2
Zagrebačka županija,689,Jezero,1388,Jezero,"1553, 1554",2
Zagrebačka županija,694,Kalym,1401,Kalym,1520,2
Zagrebačka županija,837,Kwpchancz,1664,Kwpchancz,"1568, 1570",2
Zagrebačka županija,907,Lose,1818,Lose,"1553, 1554",2
Zagrebačka županija,960,Maryncz,1977,Maryncz,1507,2
Zagrebačka županija,1149,Perhoch,2419,Perhoch,"1553, 1554",2
Zagrebačka županija,1182,Podgradie,2499,Podgradie,1509,2
Zagrebačka županija,1264,Pzaryewo,2649,Pzaryewo,1517,2
Zagrebačka županija,1359,Sancta Elena,2839,Sancta Elena,"1509, 1517",2
Zagrebačka županija,1466,"Thernowcz, Zobachlaz",3049,"Thernowcz, Zobachlaz","1553, 1554",2
Zagrebačka županija,1492,Thryen,3087,Thryen,1576,2
Zagrebačka županija,1563,Werhowch,3232 3234,Werhowch | Werhowcz,"1553, 1554",2
Zagrebačka županija,1774,Zthawethichy,3792,Zthawethichy,1509,2
Zagrebačka županija,1808,Zythecz,3859,Zythecz,1507,2
Križevačka županija,9,Ahmath,13,Ahmath,1507,1
Križevačka županija,10,Aladarocz,14,Aladarocz,1495,1
Križevačka županija,11,"Aladaryowch, Mylethyncz",15,"Aladaryowch, Mylethyncz",1513,1
Križevačka županija,13,Alexandrocz,18,Alexandrocz,1507,1
Križevačka županija,17,Also Izdencz,28,Also Izdencz,1507,1
Križevačka županija,27,Andraswelgh,67,Andraswelgh,1517,1
Križevačka županija,45,Bakheg,96,Bakheg,1507,1
Križevačka županija,47,"Bakolcza, Zygeth",98,"Bakolcza, Zygeth",1495,1
Križevačka županija,52,"Banowcz, Gorycza",106,"Banowcz, Gorycza",1495,1
Križevačka županija,54,Bara ad Belam,110,Bara ad Belam,1495,1
Križevačka županija,57,Barowcz,114,Barowcz,1507,1
Križevačka županija,58,Barswelge,115,Barswelge,1517,1
Križevačka županija,77,Belchowcz,153,Belchowcz,1513,1
Križevačka županija,84,Belkowcz,165,Belkowcz,1512,1
Križevačka županija,87,Belwdoch-villicatus ad Zenth Georghwara,176,Belwdoch-villicatus ad Zenth Georghwara,1520,1
Križevačka županija,88,Belwdowcz ad Zenth Gergwara,177,Belwdowcz ad Zenth Gergwara,1507,1
Križevačka županija,89,Belywdowcz,182,Belywdowcz,1513,1
Križevačka županija,90,Benchethyncz,183,Benchethyncz,1517,1
Križevačka županija,94,Berdekowcz ad Belam,191,Berdekowcz ad Belam,1495,1
Križevačka županija,96,Beregi,194,Beregi,1507,1
Križevačka županija,102,Berschanowcz,208,Berschanowcz,1495,1
Križevačka županija,103,Bersthanowcz cum pertinentiis,209,Bersthanowcz cum pertinentiis,1495,1
Križevačka županija,105,Berywoy (Zenth Iwan?),211,Berywoy (Zenth Iwan?),1495,1
Križevačka županija,106,Berywoy-oppidum (Zenth Iwan?),212,Berywoy-oppidum (Zenth Iwan?),1495,1
Križevačka županija,122,"Blagay, Glogowy",233,"Blagay, Glogowy",1495,1
Križevačka županija,125,Blasew Werh,241,Blasew Werh,1507,1
Križevačka županija,140,Bona-Hampo,285,Bona-Hampo,1533,1
Križevačka županija,144,Bonowk,290,Bonowk,1507,1
Križevačka županija,149,Borowe,299,Borowe,1495,1
Križevačka županija,154,Bothezyncz,325,Bothezyncz,1520,1
Križevačka županija,160,Bradechyna ad Garych,336,Bradechyna ad Garych,1513,1
Križevačka županija,162,Bradna inferior,338,Bradna inferior,1495,1
Križevačka županija,165,Bregchewcz,342,Bregchewcz,1507,1
Križevačka županija,166,Breschyna,344,Breschyna,1507,1
Križevačka županija,171,Brestoycha,351,Brestoycha,1512,1
Križevačka županija,172,Brezewcze cum pertinentiis,352,Brezewcze cum pertinentiis,1507,1
Križevačka županija,174,Brezoycha-ad Nagh Kemlek,358,Brezoycha-ad Nagh Kemlek,1513,1
Križevačka županija,182,"Brezyna, Chakowcz",371,"Brezyna, Chakowcz",1513,1
Križevačka županija,186,Brysnyak,381,Brysnyak,1507,1
Križevačka županija,193,Bwdnak,388,Bwdnak,1512,1
Križevačka županija,220,Byzkelethycz,456,Byzkelethycz,1513,1
Križevačka županija,221,Camarcha,469,Camarcha,1520,1
Križevačka županija,222,"Camarcha, Thwlowa",470,"Camarcha, Thwlowa",1520,1
Križevačka županija,223,Campus,471,Campus,1513,1
Križevačka županija,224,Campus-Sancta Maria Virginis in Campo,472,Campus-Sancta Maria Virginis in Campo,1520,1
Križevačka županija,226,"Cappela,Kelyanowcz",474,"Cappela,Kelyanowcz",1513,1
Križevačka županija,233,"Chakowcz, Brezyna",482,"Chakowcz, Brezyna",1517,1
Križevačka županija,238,Charzyncz,492,Charzyncz,1517,1
Križevačka županija,241,Chehowyna ad portionem,501,Chehowyna ad portionem,1495,1
Križevačka županija,249,"Cherbenye, Lwkawecz",514,"Cherbenye, Lwkawecz",1507,1
Križevačka županija,257,Chernareca,523,Chernareca,1507,1
Križevačka županija,266,Chero berdo,541,Chero berdo,1512,1
Križevačka županija,267,Cherowoberdo,542,Cherowoberdo,1512,1
Križevačka županija,270,Chesthylowcz,551,Chesthylowcz,1520,1
Križevačka županija,271,Chethertekhel,552,Chethertekhel,1495,1
Križevačka županija,272,Chezmycza Zenth Iwan,554,Chezmycza Zenth Iwan,1574,1
Križevačka županija,276,Chowcowyna,561,Chowcowyna,1507,1
Križevačka županija,277,Chowkowyna,562,Chowkowyna,1517,1
Križevačka županija,279,Chremysthe,565,Chremysthe,1513,1
Križevačka županija,283,Chrysthalowcz-cum provincia et pertinentiis,573,Chrysthalowcz-cum provincia et pertinentiis,1533,1
Križevačka županija,285,Chwchwwachincz,577,Chwchwwachincz,1495,1
Križevačka županija,286,Chwdowcz,578,Chwdowcz,1543,1
Križevačka županija,289,Chyglana,585,Chyglana,1513,1
Križevačka županija,291,Chygleno,587,Chygleno,1520,1
Križevačka županija,297,"Clobwk, Jalsewcz, Zenth Iwan",596,"Clobwk, Jalsewcz, Zenth Iwan",1495,1
Križevačka županija,299,Clwch,598,Clwch,1512,1
Križevačka županija,300,Conthowcz,600,Conthowcz,1507,1
Križevačka županija,302,Copozowcz,602,Copozowcz,1512,1
Križevačka županija,303,Corbowa,603,Corbowa,1495,1
Križevačka županija,304,Coren,604,Coren,1507,1
Križevačka županija,306,Coroska,606,Coroska,1495,1
Križevačka županija,307,Corpus Christi in Prodauiz,607,Corpus Christi in Prodauiz,1520,1
Križevačka županija,308,Cothnyak,608,Cothnyak,1520,1
Križevačka županija,309,Coznethyno,609,Coznethyno,1520,1
Križevačka županija,313,Crachowcz,614,Crachowcz,1517,1
Križevačka županija,319,Crawloch,620,Crawloch,1520,1
Križevačka županija,320,Crethyn in Dobrachwcha,621,Crethyn in Dobrachwcha,1495,1
Križevačka županija,325,Crisnychya,632,Crisnychya,1500,1
Križevačka županija,326,Crisnychya ad Galgoycza,633,Crisnychya ad Galgoycza,1520,1
Križevačka županija,329,Crysthesawcz-ad Galgowcz,642,Crysthesawcz-ad Galgowcz,1513,1
Križevačka županija,330,Cryznychycha-ad Zenthywan dicata,643,Cryznychycha-ad Zenthywan dicata,1513,1
Križevačka županija,331,Cwlpowcz,645,Cwlpowcz,1512,1
