county,authority_id,canonical_name,place_ids,raw_spellings,years,n_entries
Križevačka županija,342,Darnocz-cum pertinenciis,674 676 677 678 679,Darnocz-cum pertinenciis | Darnowcz cum pertinentiis | Darnowcz- cum pertinentiis | Darnowcz-cum pertinenciis | Darnowcz-cum pertinentiis,"1507, 1513, 1517",5
Križevačka županija,345,Deche,682,Deche,"1495, 1507, 1517",5
Križevačka županija,391,Dragowyna,754 756,Dragowya | Dragowyna,"1507, 1513, 1517",5
Križevačka županija,394,Draschya,760 763,Drascha | Draschya,"1512, 1513, 1520",5
Križevačka županija,422,Dyanfelde,822 823 824,Dyanfeld | Dyanfelde | Dyanffeld,"1495, 1507, 1517",5
Križevačka županija,435,Fabyanowcz,850 852 853,Fabianocz | Fabyankowcz | Fabyanowcz,"1507, 1512, 1513, 1520",5
Križevačka županija,443,Felsew Zemche,863 882 883,Felse Zemche | Felsew Zemche | Felsew Zempche,"1507, 1517",5
Križevačka županija,477,Gardowa,939,Gardowa,1517,5
Križevačka županija,503,Gorbonokfew,980 986 987 990,Gorbonakffew | Gorbonokfew | Gorbonokffew | Gorbonwkfew,"1507, 1513, 1520",5
Križevačka županija,504,Gorbonok,981 988,Gorbonok | Gorbonwk,"1495, 1507, 1513, 1517",5
Križevačka županija,540,Gregorchyncz,1059 1060 1064,Gregorchyncz | Gregorczyncz | Gregoryancz,"1507, 1512, 1513, 1520",5
Križevačka županija,563,Gywgancz,1111 1112,Gywgancz | Gywgyancz,"1495, 1507, 1517",5
Križevačka županija,598,Hraschan,1167,Hraschan,"1495, 1507, 1512, 1513",5
Križevačka županija,623,Hyzdencz,1221,Hyzdencz,1517,5
Križevačka županija,696,Kamarcza,1403 1404,Kamarcha | Kamarcza,"1495, 1507",5
Križevačka županija,867,Lazachowcz,1736 1737 1738 1741,Lazachoucz | Lazachowcz | Lazachyowcz | Lazochowcz,"1495, 1500, 1507, 1512, 1520",5
Križevačka županija,931,Magalowcz,1905 1906,Magalocz | Magalowcz,"1495, 1507, 1513, 1517",5
Križevačka županija,1009,Mosyna,2068 2069,Mosyna | Mosynya,"1495, 1513, 1517",5
Križevačka županija,1118,Ozwgo,2369 2370,Ozwgo | Ozwgyo,"1512, 1513, 1520",5
Križevačka županija,1124,Palychna,2377,Palychna,"1495, 1507, 1517",5
Križevačka županija,1244,Progowcz,2618,Progowcz,"1495, 1507, 1513",5
Križevačka županija,1255,Pwnekowcz,2639,Pwnekowcz,"1507, 1512, 1513",5
Križevačka županija,1421,Sybrynowcz,2959 2961 2962,Sybrinowcz | Sybrynowcz | Sybrynowhcz,"1495, 1512, 1513",5
Križevačka županija,1512,Vechezlawcz,3133 3197 3198 3199,Vechezlawcz | Wechezlaucz | Wechezlawcz | Wechlawcz,"1495, 1507, 1513, 1520",5
Križevačka županija,1540,Wamhyda,3183,Wamhyda,"1507, 1517",5
Križevačka županija,1541,Warallya,3184 3185,Warallia | Warallya,"1507, 1512, 1520",5
Križevačka županija,1601,Wywdwar,3385 3387,Wyudwar | Wywdwar,"1507, 1517, 1533",5
Križevačka županija,1616,Zagolcza,3412,Zagolcza,1495,5
Križevačka županija,1620,Zakowcza,3419,Zakowcza,1507,5
Križevačka županija,1646,Zekowcz,3476 3662,Zekowcz | Zerkowcz,"1507, 1512, 1513, 1520",5
Križevačka županija,1745,Zombathel,3722,Zombathel,"1495, 1507, 1517",5
Križevačka županija,1771,Zthara,3785,Zthara,"1507, 1513, 1517",5
Križevačka županija,1788,Zwchowcz,3825,Zwchowcz,"1507, 1512, 1513, 1520",5
Varaždinska županija,195,Bwdyndoll,394 397,Bwdyndol | Bwdyndoll,"1543, 1596",5
Varaždinska županija,1701,Zenth Wyd,3591 3644,Zenth Wyd | Zenthwyd,"1507, 1513",5
Varaždinska županija,1757,Zotyzka,3764,Zotyzka,1596,5
Virovitička županija,259,Chernecz,526 527,Chernech | Chernecz,"1507, 1513, 1517",5
Virovitička županija,1444,Thallocz,3013,Thallocz,"1513, 1517",5
Zagrebačka županija,268,Cherwylno,545,Cherwylno,"1570, 1574, 1576, 1579, 1582",5
Zagrebačka županija,375,Dol,721 743,Dol | Dool,"1507, 1509, 1517, 1520",5
Zagrebačka županija,936,Malchewcz,1913 1915,Malchewcz | Malchewczy,"1517, 1573, 1574, 1576",5
Zagrebačka županija,1070,Odrazenthgergh,2231 2232 2238 2239 2240,Odra Zenth Georgh | Odra Zenth Ghergh | Odra-Zenthgyergy | Odrazenthgergh | Odrazenthghergh,"1543, 1553, 1576, 1579, 1582",5
Zagrebačka županija,1271,Radmanczy,2660 2661 2772,Radmancz | Radmanczy | Rodmanczy,"1553, 1554, 1566, 1567, 1568",5
Zagrebačka županija,1787,Zwhodol,3824 3832,Zuhodol | Zwhodol,"1553, 1554, 1566, 1567",5
Križevačka županija,12,Alberthowyna,16 17,Alberthowyna | Albethowyna,"1507, 1517",4
Križevačka županija,44,Bahonyn,94 95,Bahonincz | Bahonyn,"1512, 1513, 1520",4
Križevačka županija,66,Bednye cum pertinentiis,129,Bednye cum pertinentiis,1570,4
Križevačka županija,159,Bozyas,335,Bozyas,"1507, 1513, 1517",4
Križevačka županija,205,Bwyancz,421,Bwyancz,1507,4
Križevačka županija,230,Czeraberda,479 654 656,Cerabarda | Czeraberda | Czerowaberda,"1495, 1513, 1533",4
Križevačka županija,252,Chereborda,517 655,Chereborda | Czereborda,"1507, 1520",4
Križevačka županija,258,Chernareka,524,Chernareka,"1495, 1517",4
Križevačka županija,261,Chernesoucz,529 538,Chernesoucz | Chernossowcz,"1507, 1517",4
Križevačka županija,288,Chwthenya,580,Chwthenya,1507,4
Križevačka županija,341,Darnowcz,673 675,Danowcz | Darnowcz,"1507, 1513, 1517",4
Križevačka županija,379,Domankwsowcz,734 735 736,Domancusowcz | Domankwsoucz | Domankwsowcz,"1507, 1513, 1517",4
Križevačka županija,389,Dragatyn,750,Dragatyn,1507,4
Križevačka županija,460,Fynthyncz,909 924 925,Finthincz | Fynthych | Fynthyncz,"1507, 1512, 1513, 1520",4
Križevačka županija,506,Gorbonwk-oppidum cum pertinentiis,984 985 989,Gorbonok-oppidum cum pertinentiis | Gorbonok-oppidum-cum pertinentiis | Gorbonwk-oppidum cum pertinentiis,"1507, 1513, 1517",4
Križevačka županija,551,Grobosincz,1085 1086,Grobosincz | Grobosyncz,"1495, 1507, 1513",4
Križevačka županija,559,Gwdowcz,1100 1101,Gwdoch | Gwdowcz,"1495, 1507, 1520",4
Križevačka županija,578,Herborthya,1139 1140,Herborthya | Herbortya,"1495, 1520",4
Križevačka županija,638,Iwelowcz,1256,Iwelowcz,"1507, 1513, 1517",4
Križevačka županija,641,Jacopowcz,1259 1262 1263 1264,Jacopowcz | Jacupoucz | Jacupowcz | Jacwpowcz,"1495, 1507, 1520",4
Križevačka županija,758,Komosowcz,1510,Komosowcz,"1507, 1512, 1520",4
Križevačka županija,785,Koruska,1551,Koruska,"1500, 1512",4
Križevačka županija,803,Kozachyna,1576 1695,Kozachyna | Kwzachyna,"1495, 1507, 1517",4
Križevačka županija,868,Lazecz,1739,Lazecz,"1507, 1512, 1513, 1520",4
Križevačka županija,932,Magyerlak,1907 1909 1999,Magerlak | Magyerlak | Megerlak,"1513, 1520, 1533",4
Križevačka županija,968,Meglech,2000,Meglech,"1495, 1513, 1517",4
Križevačka županija,973,Mellesowcz,2012 2014 2015,Mellesowcz | Mellessowcz | Melnesowcz,"1495, 1507, 1517",4
Križevačka županija,996,Mochylo,2046,Mochylo,1517,4
Križevačka županija,998,Moghoyna-de Kaproncza,2048 2049,Moghoyna-de Kaproncza | Mogowina ad Kaproncza,"1513, 1520",4
Križevačka županija,1005,Monchowcz,2060,Monchowcz,"1513, 1520",4
Križevačka županija,1047,Neznanheg,2176 2177 2178,Neznanheg | Neznanhege | Neznanhegh,"1495, 1507, 1513, 1517",4
Križevačka županija,1081,Omnii Sancti,2265,Omnii Sancti,"1507, 1512, 1513, 1520",4
Križevačka županija,1105,Orosowcz,2328 2329 2332,Orosowcz | Orossowcz | Orrosowcz,"1507, 1513, 1517",4
Križevačka županija,1108,Ortunoucz,2333 2334,Orthonowcz | Ortunoucz,"1495, 1507",4
Križevačka županija,1198,Pokorenowecz,2527 2528 2529,Pokorenowcz | Pokorenowecz | Pokoronowcz,"1495, 1517, 1533",4
Križevačka županija,1209,Popwd Podgorya,2556,Popwd Podgorya,1507,4
Križevačka županija,1227,Predriho,2586 2587,Predriho | Predryho,"1495, 1507, 1513, 1517",4
Križevačka županija,1251,Pryztawcz,2632 2633,Pryztawcz | Pryzthawcz,"1512, 1513, 1520",4
Križevačka županija,1256,"Pwnekowcz, Myklwsowcz",2640,"Pwnekowcz, Myklwsowcz",1520,4
Križevačka županija,1261,Pychwlyncz,2645 2646,Pychulinch | Pychwlyncz,"1507, 1512, 1513",4
Križevačka županija,1274,Radoysche,2664 2665,Radoysche | Radoyschye,"1533, 1543, 1554, 1570",4
Križevačka županija,1301,Raynok,2722,Raynok,"1513, 1520",4
Križevačka županija,1317,Regowcz,2747 2748,Regowcz | Regowecz,"1507, 1512, 1513, 1520",4
Križevačka županija,1373,Sanctus Crux,2853,Sanctus Crux,"1512, 1513, 1520",4
Križevačka županija,1432,Sywecz,2996,Sywecz,"1495, 1507, 1517",4
Križevačka županija,1473,Thomasdowcz,3058 3061,Thomasdowcz | Thomassowcz,"1495, 1507",4
Križevačka županija,1549,Waswarowcz,3193 3194 3195 3196,Wasuaryowcz | Waswarowcz | Waswaryewcz | Waswaryowcz,"1495, 1507, 1513, 1517",4
Križevačka županija,1566,Werussewych,3240,Werussewych,1507,4
Križevačka županija,1650,Zelcze,3483 3484 3485,Zelche | Zelcz | Zelcze,"1507, 1512, 1513, 1520",4
Križevačka županija,1661,Zeyanahrazthya,3511 3669 3670,Zenaharazthya | Zeyana Harazthya | Zeyanahrazthya,"1507, 1513, 1517",4
