place_id,group_key,canonical_name,modern_place,needs_review
3637,pavles_1697,Zenthmyklos,Donji Miklouš
3715,pavles_1740,Zobothycza,Subotica Podravska
3719,pavles_1740,Zobothycza,Subotica Podravska
3722,pavles_1745,Zombathel,Subotica Podravska
383,pavles_188,Bwdrowcz,Gudovec
389,pavles_188,Bwdrowcz,Gudovec
390,pavles_188,Bwdrowcz,Gudovec
392,pavles_188,Bwdrowcz,Gudovec
345,pavles_167,Bresnycze,Breznica
347,pavles_167,Bresnycze,Breznica
99,pavles_48,Bakowcza,Mali Bukovec
100,pavles_48,Bakowcza,Mali Bukovec
3821,pavles_1786,Zwha Mlaka,Mlaka
3828,pavles_1786,Zwha Mlaka,Mlaka
3829,pavles_1786,Zwha Mlaka,Mlaka
3708,pavles_1734,Zlayna,Slanje
3698,pavles_1732,Zlawschyna,Slanje
3705,pavles_1732,Zlawschyna,Slanje
3706,pavles_1732,Zlawschyna,Slanje
391,pavles_194,Bwdrowcz,Budrovec
393,pavles_194,Bwdrowcz,Budrovec
328,pavles_156,Bothowcz,Botovo
369,pavles_180,Brezyancz,Ilova kod Grubišnog Polja,1
372,pavles_180,Brezyancz,Ilova kod Grubišnog Polja,1
2048,pavles_998,Moghoyna-de Kaproncza,Mogovina
2049,pavles_998,Moghoyna-de Kaproncza,Mogovina
3389,vivodina,Wywodyna,Vivodina
3388,vivodina,Wywodina,Vivodina
97,bakolca,Bakolcza,Donja Bukovica
117,batina,Batyna,Voćin
118,batina,Batyna,Voćin
126,bedna,Bedna,Petar Ludbreški
127,bedna,Bedna,Petar Ludbreški
210,berstianovc,Bersthianoucz,Bršljanica
436,biksad,Bykszad,Bisag
481,cakovc,Chakowcz,Čaklovac
483,caktornia,Chaktornya,Čaklovac
571,cristaloc,Christalocz,Kreštelovac
572,cristaloc,Christalocz,Kreštelovac
618,cravarina,Crawaryna,Grahovljani
636,cristaloc,Christalocz,Kreštelovac
637,cristaloc,Christalocz,Kreštelovac
638,cristaloc,Christalocz,Kreštelovac
639,cristaloc,Christalocz,Kreštelovac
641,cristaloc,Christalocz,Kreštelovac
673,darnovc,Darnowcz,Drenovac
675,darnovc,Darnowcz,Drenovac
692,desnice,Desnycze,Dišnik
707,dobrakvcia,Dobra Kuchya,Dobra Kuća
710,dobrakvcia,Dobra Kuchya,Dobra Kuća
738,dombro,Dombro,Dubrava
784,dvbrava,Dubrawa,Dubrava
788,dvbovec,Dwbowecz,Dubovac
789,dvbrava,Dubrawa,Dubrava
820,diakovc,Dyakowch,Diankovec
821,diakovc,Dyakowch,Diankovec
936,galovc,Galowcz,Galovac
958,gerzence,Gerzencze,Gračenica
981,gorbonok,Gorbonok,Kloštar Podravski
988,gorbonok,Gorbonok,Kloštar Podravski
993,gordova,Gordowa,Grđevac
994,gordova,Gordowa,Grđevac
1054,grebena,Grebenna,Grebeno,1
1100,gvdovc,Gwdowcz,Gudovac
1101,gvdovc,Gwdowcz,Gudovac
1137,herboltia,Herbolthya,Veliki Poganac
1138,herboltia,Herbolthya,Veliki Poganac
1139,herbortia,Herborthya,Veliki Poganac
1140,herbortia,Herborthya,Veliki Poganac
1221,hizdenc,Hyzdencz,Zdenci
1258,izdenc,Izdencz,Zdenci
1402,kamaca,Kamacza,Novigrad Podravski
1403,kamarca,Kamarcza,Novigrad Podravski
1404,kamarca,Kamarcza,Novigrad Podravski
1519,kontovc,Konthowcz,Kontovac
1529,kopacovc,Kopachowcz,Kopačevac
1535,kopacovc,Kopachowcz,Kopačevac
1630,kravarina,Krawaryna,Grahovljani
1649,kristalovc,Krysthalowcz,Kreštelovac
1686,kvtenia,Kwtthennya,Kutina
1687,kvtenia,Kwtthennya,Kutina
1688,kvtenia,Kwtthennya,Kutina
1694,kvtenia,Kwtthennya,Kutina
1924,martonpataka,Marthonpathaka,Martinpotok,1
1936,martonpataka,Marthonpathaka,Martinpotok,1
1937,martonpataka,Marthonpathaka,Martinpotok,1
1938,martonpataka,Marthonpathaka,Martinpotok,1
1939,martonpataka,Marthonpathaka,Martinpotok,1
1940,martinianc,Martynyancz,Martijanec
1947,martinianc,Martynyancz,Martijanec
1960,martinianc,Martynyancz,Martijanec
1965,martinianc,Martynyancz,Martijanec
1966,martinianc,Martynyancz,Martijanec
2075,mvsina,Mwsyna,Šandrovac
2189,novazentmarton,Nowa Zenth Marton,Martinac Trojstveni
2195,novazentmarton,Nowa Zenth Marton,Martinac Trojstveni
2203,novazentmarton,Nowa Zenth Marton,Martinac Trojstveni
2295,orbona,Orbona,Obrovnica
2297,orehoc,Orehocz,Orehovec
2299,orehovc,Orehowcz,Orehovec
2300,orehovc,Orehowcz,Orehovec
2309,orehovc,Orehowcz,Orehovec
2310,orehovc,Orehowcz,Orehovec
2319,orehovc,Orehowcz,Orehovec
2320,orehovc,Orehowcz,Orehovec
2321,orehovc,Orehowcz,Orehovec
2410,pekerzerdahel,Pekerzerdahel,Sredjani
2411,peklenice,Peklenycze,Paklenica
2414,peklenice,Peklenycze,Paklenica
2415,pekrec,Pekrecz,Pakrac
2429,pestenie,Pesthenye,Pistana
2430,pestenie,Pesthenye,Pistana
2431,pestenie,Pesthenye,Pistana
2432,pestenie,Pesthenye,Pistana
2544,polositica,Polosythycza,Stara Plošćica
2579,prastovc,Prastowcz,Prašćevac
2580,prastovc,Prastowcz,Prašćevac
2581,prastovc,Prastowcz,Prašćevac
2586,predriho,Predriho,Gornje Predrijevo
2587,predriho,Predriho,Gornje Predrijevo
2616,prodaviz,Prodawyz,Virje
2617,prodaviz,Prodawyz,Virje
2620,prvgovc,Prwgowcz,Prugovac
2669,rahoca,Rahocza,Orahovica
2701,rasa,Rassa,Rača
3003,terbenie,Terbennye,Turbina
